scenario,scenario_label,estimator,estimator_label,mean,standard_deviation,q025,median,q975,bias,rmse,replications,sample_size_per_period
stable,"Stable compliers, flat path",raw_flat,"Unstandardized, flat",0.9924226579029795,0.17518286821579393,0.6603588547647034,0.9906073749059424,1.3327617050705667,-0.007577342097020545,0.17530290616789362,2000,2500
stable,"Stable compliers, flat path",standardized_flat,"Common-standardized, flat",0.9937223421015215,0.16172168789404678,0.6740849522199094,0.9904392237215525,1.3143697936416665,-0.00627765789847845,0.16180307899364021,2000,2500
stable,"Stable compliers, flat path",standardized_linear,"Common-standardized, linear",0.9931468550531467,0.2066330722578054,0.5888689730609098,0.9913215645279391,1.384414256542394,-0.006853144946853296,0.20669504960953158,2000,2500
observed_shift,Observed X shift,raw_flat,"Unstandardized, flat",1.7520171204350998,0.17837508149867895,1.3982818276977533,1.7510592519315742,2.09766039466851,0.7520171204350998,0.7728722470708274,2000,2500
observed_shift,Observed X shift,standardized_flat,"Common-standardized, flat",1.003664712882812,0.21529962237516578,0.5800639602020708,1.0053577183581095,1.4128574766806679,0.0036647128828120046,0.21527698565268186,2000,2500
observed_shift,Observed X shift,standardized_linear,"Common-standardized, linear",1.0026541913390754,0.2541517914318243,0.496325110569302,1.0054432506384168,1.4899953747195556,0.002654191339075407,0.2541021079273564,2000,2500
turnover,Unobserved turnover,raw_flat,"Unstandardized, flat",1.797968961809954,0.11600270643916004,1.5657241434995206,1.7967509899533047,2.026061958922434,0.7979689618099539,0.8063525057934122,2000,2500
turnover,Unobserved turnover,standardized_flat,"Common-standardized, flat",1.7988281083723614,0.11484930441371931,1.5688484324614622,1.7966035079952498,2.0275194570817763,0.7988281083723614,0.8070378642100494,2000,2500
turnover,Unobserved turnover,standardized_linear,"Common-standardized, linear",1.7984292903592667,0.14896694986926146,1.499832504407585,1.7964297326098415,2.100109620551489,0.7984292903592667,0.8122003375281719,2000,2500
secular,Linear no-event trend,raw_flat,"Unstandardized, flat",1.4002871708691322,0.17270286516238517,1.0550470106200873,1.4004990484298756,1.7407262536416541,0.40028717086913224,0.4359371349838108,2000,2500
secular,Linear no-event trend,standardized_flat,"Common-standardized, flat",1.3979487352656323,0.1611824190872686,1.076195518038792,1.4018783997802233,1.7141809821652807,0.39794873526563235,0.42933667236357637,2000,2500
secular,Linear no-event trend,standardized_linear,"Common-standardized, linear",0.9928732403537844,0.20889221639823127,0.581549343948463,0.986765899947696,1.4209717830101836,-0.007126759646215564,0.2089615533914901,2000,2500
